symbol,year,company,legal_reserve,exchange,approved_date,restatement,integrative,current_liabilities,noncurrent_liabilities,shareholders_equity,approved_shareholders_equity,current_assets,noncurrent_assets,total_liabilities,total_liabilities_plus_shareholders_equity,total_assets,audited,public_rights,net_fixed_assets,fiscal_year,other_reserves,capital,investments_and_other_assets,retained_earnings,type
وخارزم,1389,سر. خوارزمی,166948.0,,13910714,خیر,خیر,833841.0,563425.0,4750212.0,,1107213.0,5040265.0,1397266.0,6147478.0,6147478.0,بلی,,8670.0,13900331,,2449650.0,5031584.0,957209.0,*12ماهه
وخارزم,1391,سر. خوارزمی,342057.0,,13920723,,-,1088792.0,3018.0,8758547.0,7583261.0,2215602.0,7634755.0,1091810.0,9850357.0,9850357.0,-,,112269.0,13920331,-1.0,4685307.0,7522486.0,1241609.0,مجمع
وخارزم,1392,سر. خوارزمی,510488.0,,13940706,بلی,خیر,1910667.0,499664.0,13372851.0,,5215202.0,10567980.0,2410331.0,15783182.0,15783182.0,خیر,,99256.0,13930331,1002485.0,4685307.0,8806816.0,2576077.0,*12ماهه
وخارزم,1394,سر. خوارزمی,818199.0,,13950725,,-,4554845.0,446138.0,17423145.0,15792755.0,6316421.0,16107707.0,5000983.0,22424128.0,22424128.0,-,,519984.0,13950331,,12500000.0,14673271.0,2574363.0,مجمع
وخارزم,1395,سر. خوارزمی,889532.0,,13961212,بلی,خیر,6801024.0,266286.0,17191682.0,,7096440.0,17162552.0,7067310.0,24258992.0,24258992.0,خیر,,510053.0,13960331,,12500000.0,14856898.0,2027523.0,*12ماهه
وخارزم,1396,سر. خوارزمی,938372.0,بورس تهران,13970728,,-,7666328.0,39216.0,16802861.0,16177861.0,6533982.0,17974423.0,7705544.0,24508405.0,24508405.0,-,,494684.0,13970331,1929487.0,12500000.0,15864555.0,1435002.0,مجمع
وخاور,1391,بانک خاورمیانه,61212.0,,13920330,,-,1180412.0,1142115.0,4408081.0,4065081.0,3537619.0,831376.0,1182527.0,5590608.0,5590608.0,-,,,13911229,,4000000.0,1247.0,346869.0,مجمع
وخاور,1392,بانک خاورمیانه,184216.0,,13930405,,-,16361415.0,731511.0,4888110.0,4279110.0,17262476.0,2317997.0,16369926.0,21258036.0,21258036.0,-,,,13921229,,4000000.0,46231.0,703894.0,مجمع
وخاور,1393,بانک خاورمیانه,311494.0,,13940914,بلی,خیر,25594754.0,622882.0,5074188.0,,26318874.0,3772146.0,25617234.0,30691422.0,30691422.0,خیر,,,13931229,,4000000.0,1027042.0,762694.0,*12ماهه
وخاور,1394,بانک خاورمیانه,515614.0,,13951019,بلی,خیر,6338514.0,29276195.0,5763117.0,,34847216.0,2881930.0,35614709.0,41377826.0,41377826.0,خیر,,,13941229,,4000000.0,118221.0,1247503.0,*12ماهه
